2010/05/14
I would like to |thank| everyone who helped me.~thangk
Do you |think| we'll make it in time?~thingk
I like to |sing| in choir.~sing
What food did you |bring| to share?~bring
Rock |and| roll!~and
The |end| of the story was sad.~end
She |dresses| in the very best clothes.~dres-iz
One of these |days| I'll figure out what to do.~deyz
She placed all her things in |boxes| to get ready for the move.~boks-iz
I really enjoy visiting ocean |beaches|.~beech-iz
He |wishes| he had more friends.~wish-iz
They rode their |bikes| home after school.~bahykz
