2010/08/27
Peter likes to |mix| things up.~micks
Mom poured |milk| on his cereal.~milk
I could |smell| the food from across the room.~smel
Larry was the |last| in line.~last
Moe can stand on his |head|.~hed
Curley would do any favor for a |friend|.~frend
She had the highest score in the |class|.~klas
He held up his |left| hand.~left
The cardboard was really |thick|.~thik
He plans to |send| the girl a letter.~send
He gets really |thin| when he doesn't eat.~thin
He threw a |stick| for his dog.~stik
I hope I pass the |test|.~test
The dog ate all the food in his |dish|.~dish
One of his chores is to |empty| the trash.~emp-tee
I will |glance| out of the corner of my eye.~glans
I sometimes will have an |apple| at lunch.~ap-uhl
The lead on her |pencil| was pretty dull.~pen-suhl
I am pretty good at |math| because I like numbers.~math
An |octopus| lives in the ocean.~ok-tuh-puhs
