Lessons 16-18 Review
|aptitude| n. a natural ability ; the ability to learn~ap-ti-tood
|astute| adj. showing a clever or shrewd mind; crafty~uh-stoot
|conducive| adj. helpful; tending to promote as a result; contributory~kuhn-doo-siv
|erratic| adj. irregular; not steady; uncertain~ih-rat-ik
|mosque| n. a Muslim house of worship~mosk
|pastoral| adj. relating to a simple country way of life; relating to shepherds; rural~pas-ter-uhl
|quantitative| ajf. capable of being measured or expressed as an amount~kwon-ti-tey-tiv
|recur| v. to return in thought or speech; to happen or appear again; to occur at intervals~ri-kur
|requisite| n. a necessity; a requirement; adj. absolutely necessary; required by circumstances~rek-wuh-zit
|zenith| n. the highest point of any course or path; the point in the sky directly above an observer~zee-nith
|annihilate| v. to destroy completely; to vanquish; to make ineffectual or unimportant; to kill~uh-nahy-uh-leyt
|concession| n. an act of granting or yielding; something granted or yielded; a privilege, such as the right to use land, ranted for a specific purpose~kuhn-sesh-uhn
|decimate| v. to destroy or kill a large part of~des-uh-meyt
|diversion| n. a turning aside, as of traffic or attention; a game or pastime; a recreation~dih-vur-zhuhn
|evade| v. to escape or avoid something. especially by using deceit or cleverness; to avoid doing or answering something directly~ih-veyd
|flagrant| adj. obviously bad; notorious; outrageous~fley-gruhnt
|insolence| n. quality or instance of being disrespectful and insulting; impudence~in-suh-luhns
|moderation| n. state of being restrained. avoidance of excesses; presiding over, as a meeting; mediation~mod-uh-rey-shuhn
|prone| adj. having a tendency, inclined; lying flat, face down~prohn
|purge| v. to remove undesirable elements from; to rid; to remove by cleansing; n. the removal of members by a higher authority~purj
|clemency| n. a lenient or merciful act; mildness, as of weather~klem-uhn-see
|dissent| v to object or oppose, not to approve; n. a difference of opinion, protest~dih-sent
|inhibition| n. the act of holding back; an inner belief, feeling, or force that checks one's actions, thoughts, or feelings~in-i-bish-uhn
|mandatory| adj. required; obligatory~man-duh-tawr-ee
|mannerism| n. a distinctive personal trait; an idiosyncrasy; an exaggerated or unnatural style or habit. as in speech or dress~man-uh-riz-uhm
|meticulous| adj. extremely careful; overly precise or fussy about details~muh-tik-yuh-luhs
|pacifist| n. a person opposed to force as a way of settling disputes; one who refuses to bear arms in a war~pas-uh-fist
|protocol| n. the code prescribing formal etiquette and precedence for official ceremonies and dealings, as with diplomats and the military; an original draft or record of a negotiation or document~proh-tuh-kawl
|submission| n. obedience; humbleness~suhb-mish-uhn
|ultimatum| n. a final demand or proposition~uhl-tuh-mey-tuhm
