Lessons 19-21 Review
|abound| v. to teem; to exist in large numbers; to have plenty~uh-bound
|admirably| adj. in a worthy manner; commendably; excellently~ad-mer-uh-buhl
|affidavit| n. a written statement made under oath~af-i-dey-vit
|amnesty| n. a general pardon, especially for political prisoners~am-nuh-stee
|bias| n. a line slanting diagonally across the weave of a fabric; a prejudice or personal tendency; v. to prejudice or sway~bahy-uhs
|censure| v. to criticize or blame; n. a condemning judgment; a reprimand~sen-sher
|diminutive| n. referring to suffices or altered word forms that designate smallness, affection, or familiarity; a very small person or thing; adj. tiny; of small size~dih-min-yuh-tiv
|inalienable| adj. not capable of being given or withdrawn~in-eyl-yuh-nuh-buhl
|rift| v. to break open; to split; n. a split; a break in friendly relations~rift
|timorous| adj. easily frightened; fearful; timid; cowardly~tim-er-uhs
|bedlam| n. a place or condition of chaos or turmoil~bed-luhm
|colloquial| adj. informal in language; conversational~kuh-loh-kwee-uhl
|consolidate| v. to unite; to strengthen; to make solid or firmly established~kuhn-sol-i-deyt
|constituent| n. a necessary part or element; a voter represented by an elected official; adj. necessary in making up a whole; component~kuhn-stich-oo-uhnt
|curtail| v. to shorten; to decrease~ker-teyl
|destitute| adj. poverty-stricken; penniless; being without~des-ti-too
|emancipate| v. to set free; to release from slavery or oppression~ih-man-suh-peyt
|exultant| adj. rejoicing greatly; triumphant~ig-zuhl-tnt
|ornate| adj. elaborate; excessively adorned or ornamented~awr-neyt
|prelude| n. anything serving as an introduction. such as an introductory section of a piece of music; an opening~prel-yood
|bestride| v. to sit on something with a leg on each side; to straddle~bih-strahyd
|casement| n. a window that opens on hinges along its side~keys-muhnt
|debut| v. to present for the first time; to make a debut; n. a first public appearance, as of an actor; a formal entrance into society~dey-byoo
|documentary| adj. based on or consisting of documents; employing facts rather than fiction; n. a presentation (such as a film) built on factual conditions or historical events~dok-yuh-men-tuh-ree
|fluctuate| v. to rise and fall or move back and forth; to change continually in an irregular way~fluhk-choo-eyt
|melancholy| adj. sad; depressed; causing or suggesting sadness; n. gloom; low spirits~mel-uhn-kol-ee
|reprieve| n. a temporary relief (from pain or trouble); an order temporarily delaying punishment or the execution of a sentence~ri-preev
|requiem| n. music or a mass for the dead~rek-wee-uhm
|theoretical| adj. hypothetical; unproved or uncertain~thee-uh-ret-i-kuhl
|vehement| adj. marked by great emotion, force, or conviction; intense; violent~vee-uh-muhnt
